Date,Open,High,Low,Close,Adj Close,Volume
1/27/2020,3282.330078,3282.330078,3214.679932,3225.52002,3225.52002,4527830000
2/3/2020,3235.659912,3347.959961,3235.659912,3327.709961,3327.709961,19469980000
2/10/2020,3318.280029,3385.090088,3317.77002,3380.159912,3380.159912,18033560000
2/17/2020,3369.040039,3393.52002,3328.449951,3337.75,3337.75,15253460000
2/24/2020,3257.610107,3259.810059,2855.840088,2954.219971,2954.219971,31535270000
3/2/2020,2974.280029,3136.719971,2901.540039,2972.370117,2972.370117,29895510000
3/9/2020,2863.889893,2882.590088,2478.860107,2711.02002,2711.02002,40521170000
3/16/2020,2508.590088,2562.97998,2280.52002,2304.919922,2304.919922,41887220000
3/23/2020,2290.709961,2637.01001,2191.860107,2541.469971,2541.469971,37182690000
3/30/2020,2558.97998,2641.389893,2447.48999,2488.649902,2488.649902,30804590000
4/6/2020,2578.280029,2818.570068,2574.570068,2789.820068,2789.820068,27169090000
4/13/2020,2782.459961,2879.219971,2721.169922,2874.560059,2874.560059,27017230000
4/20/2020,2845.620117,2868.97998,2727.100098,2836.73999,2836.73999,26476650000
4/27/2020,2854.649902,2954.860107,2821.610107,2830.709961,2830.709961,28763560000
5/4/2020,2815.01001,2844.23999,2797.850098,2842.73999,2842.73999,4723140000
